omega_tau,C_12,C_13,C_23,K_3
0.0,0.84154,0.83812,0.8757,0.8791199999999999
0.006289474781961547,0.8394,0.83736,0.87522,0.87726
0.012578949563923095,0.84068,0.84232,0.87722,0.87558
0.018868424345884642,0.8411,0.8371,0.8759,0.8799000000000001
0.02515789912784619,0.83768,0.8374,0.87816,0.87844
0.03144737390980774,0.8374,0.8354,0.87692,0.87892
0.037736848691769284,0.8366,0.8384,0.87682,0.8750200000000001
0.04402632347373083,0.83932,0.8347,0.87352,0.8781399999999999
0.05031579825569238,0.83876,0.83428,0.87468,0.8791599999999998
0.056605273037653926,0.8424,0.83378,0.8725,0.8811200000000001
0.06289474781961547,0.84104,0.83386,0.87594,0.8831199999999999
0.06918422260157703,0.8404,0.83126,0.87202,0.88116
0.07547369738353857,0.83932,0.8305,0.87354,0.88236
0.08176317216550011,0.8371,0.82878,0.86966,0.8779800000000001
0.08805264694746166,0.83786,0.8269,0.87536,0.8863200000000002
0.09434212172942322,0.83846,0.82834,0.87434,0.8844600000000001
0.10063159651138476,0.83842,0.822,0.8707,0.88712
0.1069210712933463,0.83426,0.82056,0.87,0.8837000000000002
0.11321054607530785,0.83486,0.8195,0.8717,0.8870600000000001
0.1195000208572694,0.83312,0.81388,0.87046,0.8897
0.12578949563923095,0.83562,0.81486,0.86996,0.8907199999999998
0.1320789704211925,0.83548,0.81476,0.86838,0.8891000000000001
0.13836844520315406,0.83496,0.80126,0.86562,0.89932
0.1446579199851156,0.83392,0.8065,0.86478,0.8922000000000001
0.15094739476707714,0.8293,0.79972,0.8657,0.8952800000000001
0.15723686954903868,0.82724,0.8013,0.86388,0.8898199999999999
0.16352634433100022,0.82846,0.79914,0.86392,0.89324
0.16981581911296179,0.83136,0.79392,0.86604,0.9034800000000001
0.17610529389492333,0.82924,0.7857,0.86108,0.9046199999999999
0.18239476867688487,0.8245,0.78532,0.86044,0.8996200000000001
0.18868424345884643,0.82376,0.77628,0.85926,0.90674
0.19497371824080797,0.82578,0.777,0.8576,0.9063800000000001
0.20126319302276952,0.8241,0.77168,0.85564,0.90806
0.20755266780473106,0.8238,0.76658,0.85798,0.9151999999999998
0.2138421425866926,0.82004,0.76386,0.85404,0.91022
0.22013161736865416,0.81404,0.7614,0.8565,0.90914
0.2264210921506157,0.82008,0.75394,0.8532,0.91934
0.23271056693257725,0.82024,0.75128,0.8514,0.9203600000000001
0.2390000417145388,0.81442,0.74384,0.85386,0.92444
0.24528951649650035,0.81752,0.73908,0.8497,0.92814
0.2515789912784619,0.81466,0.73438,0.84844,0.92872
0.25786846606042346,0.81388,0.72848,0.84808,0.9334800000000001
0.264157940842385,0.80788,0.72716,0.84304,0.9237600000000001
0.27044741562434654,0.8084,0.71836,0.84084,0.93088
0.2767368904063081,0.81028,0.71224,0.84176,0.9398
0.2830263651882696,0.80888,0.70482,0.84076,0.94482
0.2893158399702312,0.80594,0.70784,0.83892,0.93702
0.2956053147521927,0.80476,0.69678,0.83914,0.94712
0.3018947895341543,0.80192,0.68998,0.8344,0.94634
0.30818426431611584,0.80198,0.68584,0.83262,0.94876
