omega_tau,C_12,C_13,C_23,K_3
0.0,0.838,0.85,0.876,0.864
0.006289474781961547,0.818,0.846,0.854,0.826
0.012578949563923095,0.88,0.822,0.914,0.9720000000000001
0.018868424345884642,0.842,0.842,0.894,0.894
0.02515789912784619,0.848,0.82,0.86,0.888
0.03144737390980774,0.834,0.852,0.878,0.86
0.037736848691769284,0.826,0.824,0.884,0.886
0.04402632347373083,0.868,0.82,0.888,0.936
0.05031579825569238,0.844,0.84,0.878,0.882
0.056605273037653926,0.816,0.838,0.904,0.882
0.06289474781961547,0.85,0.822,0.886,0.914
0.06918422260157703,0.826,0.826,0.882,0.882
0.07547369738353857,0.844,0.826,0.888,0.906
0.08176317216550011,0.816,0.83,0.858,0.844
0.08805264694746166,0.834,0.84,0.894,0.888
0.09434212172942322,0.848,0.764,0.878,0.962
0.10063159651138476,0.824,0.812,0.872,0.8839999999999999
0.1069210712933463,0.828,0.818,0.84,0.85
0.11321054607530785,0.832,0.804,0.864,0.8919999999999999
0.1195000208572694,0.816,0.79,0.896,0.9219999999999999
0.12578949563923095,0.85,0.798,0.846,0.8979999999999999
0.1320789704211925,0.814,0.846,0.856,0.824
0.13836844520315406,0.818,0.802,0.858,0.8739999999999999
0.1446579199851156,0.824,0.794,0.852,0.8819999999999999
0.15094739476707714,0.82,0.81,0.846,0.8559999999999999
0.15723686954903868,0.858,0.81,0.874,0.9219999999999999
0.16352634433100022,0.878,0.792,0.822,0.9079999999999999
0.16981581911296179,0.808,0.794,0.882,0.8959999999999999
0.17610529389492333,0.83,0.772,0.846,0.9039999999999999
0.18239476867688487,0.826,0.734,0.854,0.946
0.18868424345884643,0.806,0.782,0.87,0.8940000000000001
0.19497371824080797,0.826,0.77,0.85,0.9059999999999999
0.20126319302276952,0.826,0.754,0.836,0.9079999999999999
0.20755266780473106,0.854,0.766,0.866,0.954
0.2138421425866926,0.824,0.794,0.852,0.8819999999999999
0.22013161736865416,0.83,0.788,0.854,0.8959999999999999
0.2264210921506157,0.786,0.772,0.872,0.8859999999999999
0.23271056693257725,0.806,0.738,0.864,0.9319999999999999
0.2390000417145388,0.812,0.714,0.82,0.9180000000000001
0.24528951649650035,0.848,0.786,0.842,0.9039999999999999
0.2515789912784619,0.81,0.722,0.86,0.948
0.25786846606042346,0.78,0.708,0.858,0.9299999999999999
0.264157940842385,0.796,0.746,0.864,0.9140000000000001
