omega_tau,C_12,C_13,C_23,K_3
0.0,0.88,0.92,0.84,0.7999999999999999
0.006289474781961547,0.86,0.74,0.84,0.96
0.012578949563923095,0.76,0.78,0.92,0.9000000000000001
0.018868424345884642,0.8,0.86,0.74,0.68
0.02515789912784619,0.86,0.8,0.9,0.96
0.03144737390980774,0.86,0.8,0.94,0.9999999999999998
0.037736848691769284,0.72,0.78,0.94,0.8799999999999999
0.04402632347373083,0.94,0.96,0.86,0.8399999999999999
0.05031579825569238,0.94,0.96,0.86,0.8399999999999999
0.056605273037653926,0.86,0.8,0.86,0.9199999999999999
0.06289474781961547,0.8,0.84,0.84,0.8000000000000002
0.06918422260157703,0.76,0.8,0.8,0.76
0.07547369738353857,0.82,0.88,0.88,0.82
0.08176317216550011,0.86,0.92,0.88,0.82
0.08805264694746166,0.86,0.86,0.8,0.8000000000000002
0.09434212172942322,0.8,0.88,0.82,0.7400000000000001
0.10063159651138476,0.84,0.84,0.84,0.84
0.1069210712933463,0.88,0.8,0.9,0.98
0.11321054607530785,0.92,0.8,0.8,0.9200000000000002
0.1195000208572694,0.88,0.74,0.8,0.9400000000000002
0.12578949563923095,0.7,0.86,0.78,0.62
0.1320789704211925,0.84,0.88,0.82,0.7799999999999999
0.13836844520315406,0.74,0.78,0.88,0.8400000000000001
0.1446579199851156,0.74,0.82,0.88,0.8000000000000002
0.15094739476707714,0.76,0.72,0.8,0.8400000000000001
0.15723686954903868,0.76,0.86,0.84,0.7400000000000001
0.16352634433100022,0.88,0.8,0.92,1.0
0.16981581911296179,0.9,0.82,0.88,0.9600000000000001
0.17610529389492333,0.74,0.74,0.84,0.8400000000000001
0.18239476867688487,0.88,0.76,0.78,0.9000000000000001
0.18868424345884643,0.74,0.82,0.82,0.7400000000000001
0.19497371824080797,0.84,0.8,0.94,0.9799999999999998
0.20126319302276952,0.86,0.78,0.9,0.98
0.20755266780473106,0.84,0.72,0.82,0.94
0.2138421425866926,0.84,0.76,0.92,1.0
0.22013161736865416,0.74,0.7,0.88,0.9200000000000002
0.2264210921506157,0.76,0.8,0.8,0.76
0.23271056693257725,0.86,0.74,0.84,0.96
0.2390000417145388,0.84,0.76,0.84,0.9199999999999999
0.24528951649650035,0.84,0.7,0.76,0.9000000000000001
0.2515789912784619,0.8,0.76,0.9,0.9400000000000002
0.25786846606042346,0.68,0.64,0.9,0.9400000000000001
0.264157940842385,0.82,0.64,0.8,0.9800000000000001
0.27044741562434654,0.8,0.7,0.86,0.9600000000000002
0.2767368904063081,0.82,0.8,0.96,0.9799999999999998
0.2830263651882696,0.84,0.78,0.86,0.9199999999999999
0.2893158399702312,0.8,0.74,0.9,0.9600000000000002
0.2956053147521927,0.9,0.64,0.82,1.08
0.3018947895341543,0.62,0.7,0.88,0.8
0.30818426431611584,0.82,0.56,0.82,1.0799999999999998
0.31447373909807735,0.84,0.52,0.9,1.22
0.3207632138800389,0.8,0.68,0.86,0.9800000000000001
0.32705268866200043,0.7,0.82,0.88,0.7600000000000001
0.333342163443962,0.84,0.62,0.74,0.9600000000000001
