omega_tau,C_12,C_13,C_23,K_3
0.0,-0.5968,-0.6084,1.0,1.0116
0.006289474781961547,-0.6122,-0.6022,1.0,0.99
0.012578949563923095,-0.596,-0.6282,1.0,1.0322
0.018868424345884642,-0.5896,-0.6292,1.0,1.0396
0.02515789912784619,-0.612,-0.6404,1.0,1.0284
0.03144737390980774,-0.6266,-0.6388,0.9996,1.0118
0.037736848691769284,-0.6252,-0.6456,0.9984,1.0188
0.04402632347373083,-0.6252,-0.67,0.9986,1.0434
0.05031579825569238,-0.6278,-0.6832,0.9998,1.0552000000000001
0.056605273037653926,-0.6346,-0.69,0.9988,1.0541999999999998
0.06289474781961547,-0.6406,-0.6846,0.998,1.042
0.06918422260157703,-0.6642,-0.7126,0.997,1.0453999999999999
0.07547369738353857,-0.6608,-0.7142,0.9964,1.0497999999999998
0.08176317216550011,-0.6736,-0.7324,0.9968,1.0556
0.08805264694746166,-0.6742,-0.712,0.9964,1.0341999999999998
0.09434212172942322,-0.6758,-0.7456,0.996,1.0658
0.10063159651138476,-0.6762,-0.7376,0.9956,1.057
0.1069210712933463,-0.6932,-0.7386,0.9966,1.042
0.11321054607530785,-0.6894,-0.7684,0.9948,1.0737999999999999
0.1195000208572694,-0.7014,-0.761,0.9922,1.0518
0.12578949563923095,-0.702,-0.7914,0.991,1.0804
0.1320789704211925,-0.7062,-0.7944,0.9918,1.08
0.13836844520315406,-0.7048,-0.781,0.9884,1.0646
0.1446579199851156,-0.7176,-0.7994,0.9904,1.0722
0.15094739476707714,-0.7138,-0.8168,0.988,1.091
0.15723686954903868,-0.7172,-0.8118,0.9864,1.081
0.16352634433100022,-0.7176,-0.8292,0.9904,1.1019999999999999
0.16981581911296179,-0.731,-0.8326,0.987,1.0886
0.17610529389492333,-0.727,-0.8404,0.9822,1.0956000000000001
0.18239476867688487,-0.7338,-0.845,0.9826,1.0937999999999999
0.18868424345884643,-0.7416,-0.855,0.9806,1.0939999999999999
0.19497371824080797,-0.7416,-0.8532,0.9806,1.0922
0.20126319302276952,-0.7524,-0.8684,0.9772,1.0932
0.20755266780473106,-0.7446,-0.8696,0.9808,1.1058
0.2138421425866926,-0.7568,-0.8752,0.9774,1.0958
0.22013161736865416,-0.755,-0.8858,0.9754,1.1062
0.2264210921506157,-0.765,-0.8934,0.9766,1.105
0.23271056693257725,-0.7638,-0.9032,0.974,1.1134
0.2390000417145388,-0.7702,-0.8974,0.9752,1.1023999999999998
0.24528951649650035,-0.766,-0.913,0.9722,1.1192
