omega_tau,C_12,C_13,C_23,K_3
0.0,-0.808,-0.818,1.0,1.0099999999999998
0.006289474781961547,-0.808,-0.834,1.0,1.0259999999999998
0.012578949563923095,-0.81,-0.78,1.0,0.97
0.018868424345884642,-0.794,-0.802,1.0,1.008
0.02515789912784619,-0.816,-0.804,1.0,0.9880000000000001
0.03144737390980774,-0.842,-0.84,1.0,0.998
0.037736848691769284,-0.806,-0.816,1.0,1.0099999999999998
0.04402632347373083,-0.808,-0.856,1.0,1.048
0.05031579825569238,-0.848,-0.866,0.996,1.014
0.056605273037653926,-0.842,-0.856,1.0,1.014
0.06289474781961547,-0.786,-0.868,1.0,1.0819999999999999
0.06918422260157703,-0.84,-0.878,0.994,1.032
0.07547369738353857,-0.816,-0.882,0.998,1.064
0.08176317216550011,-0.848,-0.9,0.992,1.044
0.08805264694746166,-0.86,-0.902,1.0,1.042
0.09434212172942322,-0.854,-0.876,0.996,1.018
0.10063159651138476,-0.856,-0.906,0.996,1.046
0.1069210712933463,-0.888,-0.898,0.998,1.008
0.11321054607530785,-0.864,-0.906,0.998,1.04
0.1195000208572694,-0.854,-0.91,0.994,1.05
0.12578949563923095,-0.872,-0.938,0.992,1.0579999999999998
0.1320789704211925,-0.872,-0.948,0.988,1.064
0.13836844520315406,-0.852,-0.924,0.998,1.07
0.1446579199851156,-0.848,-0.932,0.994,1.078
0.15094739476707714,-0.882,-0.934,0.988,1.04
0.15723686954903868,-0.902,-0.952,0.99,1.04
0.16352634433100022,-0.87,-0.966,0.984,1.08
0.16981581911296179,-0.904,-0.96,0.98,1.036
0.17610529389492333,-0.908,-0.962,0.994,1.048
0.18239476867688487,-0.894,-0.958,0.988,1.052
0.18868424345884643,-0.904,-0.94,0.988,1.024
0.19497371824080797,-0.904,-0.962,0.98,1.0379999999999998
0.20126319302276952,-0.932,-0.974,0.98,1.0219999999999998
0.20755266780473106,-0.88,-0.966,0.978,1.064
0.2138421425866926,-0.92,-0.966,0.974,1.02
0.22013161736865416,-0.924,-0.976,0.964,1.016
