omega_tau,C_12,C_13,C_23,K_3
0.0,0.8402,0.8422,0.8844,0.8824
0.006289474781961547,0.8356,0.8416,0.8644,0.8583999999999999
0.012578949563923095,0.8442,0.8312,0.875,0.8879999999999998
0.018868424345884642,0.8344,0.839,0.8706,0.8660000000000001
0.02515789912784619,0.8354,0.8348,0.866,0.8666
0.03144737390980774,0.8352,0.8392,0.8638,0.8598000000000001
0.037736848691769284,0.8366,0.84,0.876,0.8726000000000002
0.04402632347373083,0.835,0.8422,0.8718,0.8645999999999999
0.05031579825569238,0.8474,0.8294,0.872,0.89
0.056605273037653926,0.8418,0.8276,0.8772,0.8913999999999999
0.06289474781961547,0.8374,0.832,0.8746,0.8800000000000002
0.06918422260157703,0.8548,0.8302,0.8756,0.9001999999999999
0.07547369738353857,0.837,0.8442,0.8682,0.8610000000000001
0.08176317216550011,0.8392,0.8336,0.8704,0.876
0.08805264694746166,0.8412,0.8272,0.8772,0.8911999999999999
0.09434212172942322,0.8342,0.8408,0.8718,0.8652
0.10063159651138476,0.8406,0.828,0.8688,0.8814000000000001
0.1069210712933463,0.824,0.8314,0.8616,0.8542
0.11321054607530785,0.8304,0.8226,0.8618,0.8696000000000002
0.1195000208572694,0.8346,0.8192,0.866,0.8814000000000001
0.12578949563923095,0.8196,0.8106,0.8744,0.8834
0.1320789704211925,0.8434,0.8088,0.8636,0.8982000000000001
0.13836844520315406,0.8294,0.8068,0.8594,0.8820000000000001
0.1446579199851156,0.8272,0.801,0.8624,0.8886
0.15094739476707714,0.8338,0.7956,0.8662,0.9044
0.15723686954903868,0.8382,0.81,0.862,0.8901999999999999
0.16352634433100022,0.831,0.8018,0.865,0.8942
0.16981581911296179,0.8184,0.783,0.8686,0.904
0.17610529389492333,0.8368,0.7968,0.862,0.9019999999999999
0.18239476867688487,0.8224,0.7828,0.864,0.9035999999999998
0.18868424345884643,0.8248,0.7768,0.861,0.9089999999999999
0.19497371824080797,0.8264,0.7814,0.8578,0.9028000000000002
0.20126319302276952,0.8254,0.7778,0.8592,0.9068
0.20755266780473106,0.8268,0.767,0.8584,0.9182
0.2138421425866926,0.816,0.771,0.849,0.894
0.22013161736865416,0.8188,0.763,0.846,0.9018
0.2264210921506157,0.8206,0.7544,0.8534,0.9196
0.23271056693257725,0.81,0.7474,0.8502,0.9128000000000002
0.2390000417145388,0.8128,0.7488,0.85,0.9139999999999998
0.24528951649650035,0.8178,0.7422,0.8478,0.9234
0.2515789912784619,0.8132,0.7364,0.8516,0.9284
0.25786846606042346,0.8184,0.741,0.8422,0.9196000000000001
0.264157940842385,0.806,0.7238,0.8384,0.9206000000000001
0.27044741562434654,0.8134,0.7072,0.842,0.9481999999999999
0.2767368904063081,0.8016,0.7244,0.8522,0.9293999999999999
0.2830263651882696,0.8094,0.7108,0.8376,0.9362
0.2893158399702312,0.8042,0.6948,0.8364,0.9458000000000001
0.2956053147521927,0.7976,0.698,0.8446,0.9441999999999999
0.3018947895341543,0.7974,0.6854,0.8434,0.9554
0.30818426431611584,0.8058,0.6882,0.8366,0.9541999999999998
0.31447373909807735,0.7994,0.6808,0.8282,0.9468000000000002
0.3207632138800389,0.7978,0.6716,0.8276,0.9538
0.32705268866200043,0.79,0.667,0.8228,0.9458
0.333342163443962,0.8026,0.6598,0.8286,0.9713999999999999
0.33963163822592357,0.7986,0.6592,0.8238,0.9631999999999998
0.3459211130078851,0.7966,0.6578,0.8366,0.9753999999999999
0.35221058778984665,0.789,0.6538,0.8186,0.9538000000000001
0.3585000625718082,0.7962,0.639,0.8224,0.9796
0.36478953735376973,0.7784,0.6258,0.805,0.9576000000000001
0.3710790121357313,0.7778,0.6148,0.8198,0.9827999999999999
0.37736848691769287,0.7796,0.6062,0.8244,0.9978000000000001
0.3836579616996544,0.7776,0.6064,0.808,0.9791999999999998
0.38994743648161595,0.7708,0.5942,0.8088,0.9854000000000002
0.39623691126357746,0.7714,0.5926,0.8176,0.9964
0.40252638604553903,0.7718,0.5834,0.8092,0.9975999999999999
0.4088158608275006,0.7876,0.5736,0.798,1.012
0.4151053356094621,0.7756,0.5718,0.8,1.0038
0.4213948103914237,0.7658,0.545,0.799,1.0198
0.4276842851733852,0.766,0.5516,0.7912,1.0055999999999998
0.43397375995534676,0.7612,0.5384,0.79,1.0128000000000001
0.44026323473730833,0.7578,0.5248,0.799,1.032
0.44655270951926984,0.7554,0.5238,0.7952,1.0268
0.4528421843012314,0.7502,0.52,0.7856,1.0158
0.459131659083193,0.7538,0.51,0.7862,1.03
0.4654211338651545,0.747,0.5016,0.7946,1.0399999999999998
0.47171060864711606,0.7522,0.4856,0.7736,1.0401999999999998
0.4780000834290776,0.7318,0.4716,0.7682,1.0284
0.48428955821103914,0.7428,0.4714,0.784,1.0554000000000001
0.4905790329930007,0.7432,0.468,0.7802,1.0554000000000001
0.4968685077749622,0.7442,0.468,0.7814,1.0575999999999999
0.5031579825569238,0.736,0.4614,0.7658,1.0404
0.5094474573388853,0.7254,0.443,0.7644,1.0468
0.5157369321208469,0.72,0.4214,0.7676,1.0662
0.5220264069028084,0.7358,0.439,0.7488,1.0455999999999999
0.52831588168477,0.7264,0.416,0.7574,1.0678
0.5346053564667316,0.7142,0.4014,0.7648,1.0776000000000001
0.5408948312486931,0.7346,0.4148,0.7438,1.0636
0.5471843060306546,0.7078,0.386,0.7364,1.0581999999999998
0.5534737808126162,0.7088,0.3836,0.7434,1.0686
0.5597632555945777,0.7114,0.3714,0.75,1.09
0.5660527303765392,0.706,0.3552,0.7312,1.0819999999999999
0.5723422051585008,0.694,0.3456,0.7348,1.0831999999999997
0.5786316799404624,0.7072,0.3368,0.7296,1.1
0.5849211547224239,0.695,0.3222,0.728,1.1008
0.5912106295043854,0.6946,0.3134,0.7314,1.1126
0.597500104286347,0.7018,0.308,0.7232,1.1169999999999998
0.6037895790683085,0.702,0.298,0.7352,1.1391999999999998
0.6100790538502701,0.6886,0.289,0.705,1.1046
0.6163685286322317,0.6814,0.2792,0.7142,1.1164
0.6226580034141932,0.6776,0.2802,0.7056,1.103
0.6289474781961547,0.681,0.2612,0.7102,1.13
0.6352369529781163,0.6842,0.2514,0.6962,1.129
0.6415264277600778,0.6706,0.228,0.7026,1.1452
0.6478159025420394,0.6624,0.2378,0.6884,1.113
0.6541053773240009,0.676,0.204,0.7032,1.1752
0.6603948521059625,0.664,0.1918,0.6858,1.1580000000000001
0.666684326887924,0.655,0.197,0.6764,1.1343999999999999
0.6729738016698855,0.6644,0.1934,0.6878,1.1587999999999998
0.6792632764518471,0.6574,0.1918,0.6756,1.1412
0.6855527512338087,0.6484,0.1572,0.6768,1.168
0.6918422260157702,0.6452,0.151,0.6678,1.162
0.6981317007977318,0.6382,0.1398,0.6902,1.1886
0.7044211755796933,0.6438,0.1266,0.6638,1.1809999999999998
0.7107106503616548,0.6202,0.121,0.6694,1.1686
0.7170001251436164,0.6426,0.1324,0.662,1.1722
0.723289599925578,0.6326,0.1044,0.6494,1.1776
0.7295790747075395,0.6264,0.0854,0.661,1.202
0.7358685494895011,0.632,0.067,0.6494,1.2144000000000001
0.7421580242714626,0.6108,0.065,0.6378,1.1836000000000002
0.7484474990534241,0.607,0.0564,0.6436,1.1942
0.7547369738353857,0.6224,0.0438,0.6318,1.2104
0.7610264486173473,0.61,0.0476,0.6272,1.1896
0.7673159233993088,0.6078,0.0314,0.6288,1.2052
0.7736053981812703,0.6112,0.012,0.6328,1.232
0.7798948729632319,0.5946,0.0034,0.6194,1.2106
0.7861843477451934,0.6034,0.008,0.6376,1.233
0.7924738225271549,0.5926,-0.009,0.6062,1.2077999999999998
0.7987632973091165,0.593,-0.0346,0.6098,1.2373999999999998
0.8050527720910781,0.5744,-0.0316,0.6216,1.2276000000000002
0.8113422468730396,0.582,-0.0568,0.6178,1.2566
0.8176317216550012,0.5796,-0.0476,0.592,1.2192
0.8239211964369627,0.5632,-0.0734,0.605,1.2416
0.8302106712189242,0.568,-0.0702,0.5802,1.2184000000000001
0.8365001460008858,0.5662,-0.0882,0.5778,1.2322000000000002
0.8427896207828474,0.5438,-0.0856,0.581,1.2104
0.8490790955648089,0.5466,-0.1044,0.5644,1.2154
0.8553685703467704,0.5702,-0.1222,0.5762,1.2686000000000002
0.861658045128732,0.5328,-0.1194,0.5612,1.2134
0.8679475199106935,0.5488,-0.1242,0.5622,1.2352
0.874236994692655,0.5228,-0.1622,0.5638,1.2488000000000001
0.8805264694746167,0.539,-0.1574,0.5516,1.248
0.8868159442565782,0.521,-0.1764,0.557,1.2544
0.8931054190385397,0.5288,-0.178,0.56,1.2668
0.8993948938205013,0.5252,-0.1766,0.5378,1.2396
0.9056843686024628,0.512,-0.2082,0.5432,1.2634
0.9119738433844243,0.5098,-0.2096,0.5276,1.2469999999999999
0.918263318166386,0.5062,-0.2028,0.507,1.216
0.9245527929483475,0.5016,-0.2348,0.5154,1.2517999999999998
0.930842267730309,0.51,-0.2402,0.5146,1.2648
0.9371317425122706,0.4976,-0.2608,0.5256,1.2839999999999998
0.9434212172942321,0.4914,-0.2682,0.5082,1.2678
0.9497106920761936,0.48,-0.2588,0.5072,1.246
0.9560001668581553,0.5008,-0.2758,0.498,1.2746
0.9622896416401168,0.4742,-0.291,0.5114,1.2766
0.9685791164220783,0.4628,-0.3104,0.4988,1.272
0.9748685912040398,0.453,-0.307,0.4882,1.2482
0.9811580659860014,0.464,-0.3072,0.4794,1.2506
0.9874475407679629,0.463,-0.3288,0.4804,1.2722
0.9937370155499244,0.455,-0.3334,0.48,1.2684
1.000026490331886,0.4688,-0.3618,0.4942,1.3248
1.0063159651138476,0.4652,-0.352,0.4518,1.2690000000000001
1.012605439895809,0.4542,-0.3854,0.4576,1.2972
1.0188949146777706,0.4294,-0.373,0.46,1.2624
1.0251843894597321,0.4324,-0.3758,0.446,1.2542
1.0314738642416938,0.4348,-0.3864,0.4556,1.2768000000000002
1.0377633390236554,0.4166,-0.4078,0.4508,1.2752
1.0440528138056169,0.4114,-0.3982,0.4374,1.2469999999999999
1.0503422885875784,0.4224,-0.4246,0.4356,1.2826
1.05663176336954,0.4294,-0.4262,0.4322,1.2877999999999998
1.0629212381515014,0.4076,-0.452,0.4164,1.276
1.0692107129334631,0.4218,-0.4522,0.4144,1.2884
1.0755001877154247,0.3996,-0.4818,0.4182,1.2996
1.0817896624973862,0.398,-0.4682,0.3996,1.2658
1.0880791372793477,0.4064,-0.4828,0.4074,1.2966
1.0943686120613092,0.3938,-0.4928,0.4084,1.295
1.1006580868432707,0.3718,-0.4968,0.3932,1.2618
1.1069475616252324,0.3732,-0.492,0.4036,1.2688
1.113237036407194,0.348,-0.5234,0.379,1.2504
1.1195265111891555,0.3576,-0.517,0.3698,1.2444000000000002
1.125815985971117,0.3628,-0.54,0.3798,1.2826
1.1321054607530785,0.3546,-0.5386,0.3736,1.2668
1.13839493553504,0.3648,-0.554,0.3698,1.2886000000000002
1.1446844103170015,0.3412,-0.5694,0.3572,1.2678
1.1509738850989633,0.316,-0.5602,0.3548,1.231
1.1572633598809248,0.3472,-0.5752,0.3678,1.2902
1.1635528346628863,0.335,-0.5744,0.3358,1.2452
1.1698423094448478,0.3368,-0.5692,0.3244,1.2304
1.1761317842268093,0.323,-0.5924,0.3366,1.252
1.1824212590087708,0.3414,-0.6082,0.3228,1.2723999999999998
1.1887107337907326,0.3138,-0.6002,0.3454,1.2593999999999999
1.195000208572694,0.3064,-0.6174,0.3242,1.248
1.2012896833546556,0.2944,-0.624,0.3344,1.2528000000000001
1.207579158136617,0.3006,-0.6224,0.3126,1.2355999999999998
1.2138686329185786,0.2846,-0.627,0.287,1.1985999999999999
1.2201581077005401,0.2844,-0.6468,0.2966,1.2278
1.2264475824825016,0.2786,-0.645,0.3128,1.2364000000000002
1.2327370572644634,0.269,-0.6528,0.292,1.2138
1.2390265320464249,0.286,-0.653,0.2748,1.2138
1.2453160068283864,0.271,-0.6628,0.2802,1.214
1.251605481610348,0.2694,-0.6674,0.2748,1.2116
1.2578949563923094,0.268,-0.6824,0.256,1.2064
1.264184431174271,0.2738,-0.6808,0.2656,1.2202
1.2704739059562327,0.2568,-0.6898,0.2536,1.2002
1.2767633807381942,0.2482,-0.6926,0.2754,1.2162
1.2830528555201557,0.2508,-0.6982,0.2402,1.1892
1.2893423303021172,0.2242,-0.6974,0.2334,1.155
1.2956318050840787,0.229,-0.71,0.2262,1.1652
1.3019212798660402,0.2194,-0.726,0.24,1.1854
1.3082107546480017,0.2258,-0.7332,0.226,1.185
1.3145002294299635,0.221,-0.7354,0.237,1.1934
1.320789704211925,0.2154,-0.7378,0.1934,1.1466
1.3270791789938865,0.2176,-0.7446,0.1982,1.1604
1.333368653775848,0.1832,-0.7468,0.1984,1.1284
1.3396581285578095,0.1936,-0.7506,0.2122,1.1564
1.345947603339771,0.1856,-0.764,0.204,1.1536
1.3522370781217328,0.1832,-0.7644,0.1896,1.1372
1.3585265529036943,0.1704,-0.7592,0.1892,1.1188
1.3648160276856558,0.169,-0.7682,0.1842,1.1214
1.3711055024676173,0.1724,-0.7834,0.1602,1.116
1.3773949772495788,0.1424,-0.7836,0.1826,1.1086
1.3836844520315403,0.1562,-0.772,0.1614,1.0896
1.389973926813502,0.1712,-0.785,0.1494,1.1056
1.3962634015954636,0.1586,-0.7922,0.144,1.0948
1.402552876377425,0.1454,-0.7844,0.1506,1.0804
1.4088423511593866,0.1276,-0.8028,0.1474,1.0777999999999999
1.4151318259413481,0.1548,-0.7914,0.1274,1.0735999999999999
1.4214213007233096,0.1338,-0.805,0.1326,1.0714000000000001
1.4277107755052711,0.1202,-0.814,0.1192,1.0534
1.4340002502872329,0.112,-0.8142,0.1254,1.0516
1.4402897250691944,0.108,-0.8016,0.1356,1.0452
1.446579199851156,0.1098,-0.81,0.1116,1.0314
