omega_tau,C_12,C_13,C_23,K_3
0.0,0.8438,0.8416,0.8766,0.8788000000000001
0.006289474781961547,0.8468,0.8352,0.8804,0.8919999999999998
0.012578949563923095,0.835,0.8398,0.8754,0.8705999999999999
0.018868424345884642,0.845,0.8348,0.8794,0.8896
0.02515789912784619,0.842,0.8412,0.8768,0.8775999999999999
0.03144737390980774,0.8422,0.8308,0.8732,0.8845999999999998
0.037736848691769284,0.834,0.8426,0.8724,0.8637999999999999
0.04402632347373083,0.8256,0.841,0.8632,0.8478000000000001
0.05031579825569238,0.8406,0.8396,0.8796,0.8806000000000002
0.056605273037653926,0.835,0.8404,0.8692,0.8637999999999999
0.06289474781961547,0.8382,0.8492,0.8712,0.8602000000000001
0.06918422260157703,0.8348,0.832,0.8736,0.8764000000000002
0.07547369738353857,0.8452,0.8298,0.876,0.8914000000000001
0.08176317216550011,0.842,0.8272,0.8786,0.8934000000000001
0.08805264694746166,0.8368,0.835,0.8792,0.881
0.09434212172942322,0.8378,0.8236,0.8714,0.8856
0.10063159651138476,0.8358,0.8256,0.882,0.8922
0.1069210712933463,0.8276,0.8276,0.8732,0.8732000000000001
0.11321054607530785,0.8254,0.8192,0.869,0.8751999999999999
0.1195000208572694,0.8388,0.8156,0.876,0.8991999999999999
0.12578949563923095,0.8328,0.823,0.8662,0.8759999999999999
0.1320789704211925,0.827,0.8078,0.8722,0.8913999999999999
0.13836844520315406,0.8274,0.8132,0.8684,0.8825999999999999
0.1446579199851156,0.8316,0.8044,0.8708,0.8979999999999999
0.15094739476707714,0.8266,0.79,0.8646,0.9012
0.15723686954903868,0.833,0.7948,0.8694,0.9076
0.16352634433100022,0.832,0.8066,0.8708,0.8961999999999999
0.16981581911296179,0.8304,0.797,0.8714,0.9047999999999999
0.17610529389492333,0.825,0.7876,0.8594,0.8968000000000002
0.18239476867688487,0.8206,0.7838,0.8624,0.8992
0.18868424345884643,0.8252,0.7818,0.8684,0.9117999999999999
0.19497371824080797,0.8276,0.7746,0.8556,0.9086000000000001
0.20126319302276952,0.8338,0.7684,0.8614,0.9268000000000001
0.20755266780473106,0.8236,0.7672,0.8686,0.9250000000000002
0.2138421425866926,0.8212,0.7598,0.856,0.9174
0.22013161736865416,0.8214,0.7588,0.8516,0.9142
0.2264210921506157,0.8344,0.7574,0.8564,0.9334000000000001
0.23271056693257725,0.8072,0.742,0.8516,0.9168000000000001
0.2390000417145388,0.8198,0.751,0.8442,0.9129999999999999
0.24528951649650035,0.817,0.7352,0.854,0.9357999999999999
0.2515789912784619,0.8084,0.7406,0.8368,0.9046
0.25786846606042346,0.8144,0.7338,0.8456,0.9262000000000001
0.264157940842385,0.8154,0.7242,0.8434,0.9346000000000001
0.27044741562434654,0.8044,0.732,0.8458,0.9181999999999999
0.2767368904063081,0.807,0.7108,0.846,0.9422
0.2830263651882696,0.8098,0.7148,0.8418,0.9368
0.2893158399702312,0.8172,0.6944,0.8472,0.9700000000000001
0.2956053147521927,0.7976,0.6832,0.8434,0.9578
0.3018947895341543,0.8044,0.6926,0.834,0.9457999999999999
0.30818426431611584,0.807,0.6934,0.8252,0.9388000000000001
0.31447373909807735,0.7996,0.685,0.8308,0.9453999999999998
0.3207632138800389,0.799,0.6738,0.8302,0.9554
0.32705268866200043,0.7982,0.6604,0.8284,0.9662000000000001
0.333342163443962,0.7932,0.6564,0.8398,0.9766
0.33963163822592357,0.7984,0.6538,0.8318,0.9763999999999998
0.3459211130078851,0.7994,0.6534,0.818,0.964
0.35221058778984665,0.7788,0.656,0.8072,0.93
0.3585000625718082,0.7846,0.6198,0.8168,0.9815999999999999
0.36478953735376973,0.7876,0.6376,0.8114,0.9614
0.3710790121357313,0.7906,0.6178,0.8214,0.9942000000000001
0.37736848691769287,0.776,0.6154,0.813,0.9736
0.3836579616996544,0.7788,0.6,0.8056,0.9844
0.38994743648161595,0.7652,0.5812,0.8068,0.9908
0.39623691126357746,0.7764,0.5796,0.8026,0.9994
0.40252638604553903,0.7754,0.5744,0.7998,1.0008
0.4088158608275006,0.76,0.5798,0.8046,0.9848
0.4151053356094621,0.764,0.5462,0.801,1.0188
