omega_tau,C_12,C_13,C_23,K_3
0.0,-1.0,-1.0,1.0,1.0
0.006289474781961547,-1.0,-1.0,1.0,1.0
0.012578949563923095,-1.0,-0.9998,1.0,0.9998
0.018868424345884642,-0.9998,-0.9994,1.0,0.9995999999999999
0.02515789912784619,-0.9996,-0.9996,1.0,1.0
0.03144737390980774,-0.9996,-0.9978,0.9998,0.998
0.037736848691769284,-0.9998,-0.998,0.9992,0.9974
0.04402632347373083,-0.999,-0.997,0.9984,0.9964
0.05031579825569238,-0.9984,-0.9948,0.9978,0.9942000000000001
0.056605273037653926,-0.9982,-0.9936,0.9982,0.9936
0.06289474781961547,-0.998,-0.9922,0.9982,0.9924
0.06918422260157703,-0.9978,-0.991,0.9974,0.9905999999999999
0.07547369738353857,-0.9962,-0.9864,0.9968,0.9870000000000001
0.08176317216550011,-0.9954,-0.986,0.9968,0.9874
0.08805264694746166,-0.9962,-0.9838,0.9958,0.9834
0.09434212172942322,-0.9934,-0.9826,0.996,0.9852000000000001
0.10063159651138476,-0.9944,-0.9804,0.9952,0.9812000000000001
0.1069210712933463,-0.9944,-0.9768,0.9952,0.9776
0.11321054607530785,-0.9946,-0.9728,0.9934,0.9715999999999999
0.1195000208572694,-0.9944,-0.9736,0.9924,0.9716
0.12578949563923095,-0.9924,-0.9706,0.993,0.9712000000000001
0.1320789704211925,-0.9918,-0.968,0.9904,0.9665999999999999
0.13836844520315406,-0.9914,-0.9614,0.9918,0.9618000000000001
0.1446579199851156,-0.9912,-0.9562,0.9886,0.9536000000000001
0.15094739476707714,-0.9854,-0.951,0.9882,0.9537999999999999
0.15723686954903868,-0.9908,-0.9512,0.99,0.9504
0.16352634433100022,-0.9874,-0.9428,0.987,0.9423999999999999
0.16981581911296179,-0.9824,-0.9366,0.988,0.9421999999999999
0.17610529389492333,-0.9836,-0.931,0.981,0.9284
0.18239476867688487,-0.9826,-0.9362,0.9848,0.9384
0.18868424345884643,-0.9824,-0.9308,0.9812,0.9295999999999999
0.19497371824080797,-0.9794,-0.9288,0.9768,0.9261999999999999
0.20126319302276952,-0.9794,-0.9134,0.982,0.9159999999999999
0.20755266780473106,-0.9806,-0.91,0.9748,0.9042
0.2138421425866926,-0.9792,-0.9058,0.9768,0.9034000000000001
0.22013161736865416,-0.9794,-0.9068,0.9764,0.9038
0.2264210921506157,-0.977,-0.9022,0.9756,0.9008
0.23271056693257725,-0.9734,-0.9006,0.973,0.9001999999999999
0.2390000417145388,-0.9708,-0.8918,0.972,0.893
0.24528951649650035,-0.9702,-0.8786,0.968,0.8764000000000001
0.2515789912784619,-0.9696,-0.8874,0.9726,0.8904
0.25786846606042346,-0.9662,-0.873,0.9684,0.8752000000000001
0.264157940842385,-0.963,-0.8638,0.9724,0.8732000000000001
0.27044741562434654,-0.9664,-0.8548,0.9698,0.8582
0.2767368904063081,-0.9608,-0.8492,0.9658,0.8542
0.2830263651882696,-0.9596,-0.8468,0.9588,0.846
0.2893158399702312,-0.9562,-0.8494,0.9576,0.8508
0.2956053147521927,-0.9526,-0.8286,0.9582,0.8342
