omega_tau,C_12,C_13,C_23,K_3
0.0,0.83,0.842,0.882,0.87
0.6981317007977318,0.512,-0.056,0.668,1.2360000000000002
1.3962634015954636,-0.006,-0.84,0.104,0.938
2.0943951023931953,-0.582,-0.278,-0.418,-0.722
2.792526803190927,-0.844,0.756,-0.804,-2.404
3.490658503988659,-0.698,0.566,-0.85,-2.114
4.1887902047863905,-0.288,-0.524,-0.478,-0.242
4.886921905584122,0.306,-0.676,0.156,1.138
5.585053606381854,0.718,0.314,0.666,1.0699999999999998
6.283185307179586,0.792,0.784,0.882,0.8899999999999999
