omega_tau,C_12,C_13,C_23,K_3
0.0,0.82,0.842,0.896,0.874
0.006289474781961547,0.858,0.826,0.868,0.9
0.012578949563923095,0.808,0.87,0.906,0.844
0.018868424345884642,0.86,0.844,0.88,0.896
0.02515789912784619,0.812,0.85,0.868,0.8300000000000002
0.03144737390980774,0.864,0.842,0.892,0.914
0.037736848691769284,0.84,0.83,0.864,0.874
0.04402632347373083,0.844,0.884,0.884,0.844
0.05031579825569238,0.87,0.804,0.88,0.946
0.056605273037653926,0.854,0.812,0.886,0.9279999999999999
0.06289474781961547,0.852,0.854,0.862,0.86
0.06918422260157703,0.814,0.832,0.87,0.852
0.07547369738353857,0.838,0.836,0.852,0.854
0.08176317216550011,0.858,0.836,0.878,0.9
0.08805264694746166,0.856,0.794,0.87,0.9319999999999999
0.09434212172942322,0.846,0.862,0.872,0.856
0.10063159651138476,0.85,0.822,0.87,0.898
0.1069210712933463,0.816,0.778,0.876,0.9139999999999999
0.11321054607530785,0.816,0.836,0.882,0.862
0.1195000208572694,0.842,0.836,0.852,0.858
0.12578949563923095,0.848,0.822,0.894,0.92
0.1320789704211925,0.84,0.806,0.862,0.8959999999999999
0.13836844520315406,0.836,0.774,0.86,0.9219999999999999
0.1446579199851156,0.818,0.776,0.884,0.9259999999999999
0.15094739476707714,0.802,0.804,0.844,0.8419999999999999
0.15723686954903868,0.826,0.786,0.852,0.8919999999999999
0.16352634433100022,0.784,0.786,0.876,0.8740000000000001
0.16981581911296179,0.834,0.792,0.868,0.9099999999999999
0.17610529389492333,0.818,0.74,0.852,0.9299999999999999
0.18239476867688487,0.838,0.824,0.848,0.862
0.18868424345884643,0.842,0.778,0.826,0.8899999999999999
0.19497371824080797,0.85,0.782,0.88,0.948
0.20126319302276952,0.828,0.768,0.84,0.8999999999999999
0.20755266780473106,0.83,0.79,0.856,0.8959999999999999
0.2138421425866926,0.818,0.742,0.814,0.8899999999999999
0.22013161736865416,0.836,0.752,0.846,0.9299999999999999
0.2264210921506157,0.81,0.75,0.854,0.9140000000000001
0.23271056693257725,0.818,0.732,0.846,0.9319999999999999
0.2390000417145388,0.816,0.698,0.862,0.98
0.24528951649650035,0.802,0.734,0.864,0.9319999999999999
0.2515789912784619,0.842,0.732,0.798,0.9080000000000001
0.25786846606042346,0.818,0.758,0.846,0.9059999999999999
0.264157940842385,0.796,0.782,0.812,0.8260000000000001
0.27044741562434654,0.826,0.702,0.824,0.948
0.2767368904063081,0.81,0.68,0.854,0.9840000000000001
0.2830263651882696,0.808,0.658,0.836,0.9860000000000001
0.2893158399702312,0.808,0.756,0.816,0.8680000000000001
0.2956053147521927,0.812,0.73,0.822,0.9039999999999999
0.3018947895341543,0.764,0.696,0.822,0.8899999999999999
0.30818426431611584,0.82,0.714,0.85,0.956
0.31447373909807735,0.806,0.658,0.828,0.9759999999999999
0.3207632138800389,0.792,0.678,0.844,0.9580000000000001
0.32705268866200043,0.802,0.664,0.848,0.9859999999999999
0.333342163443962,0.792,0.626,0.844,1.0100000000000002
0.33963163822592357,0.78,0.63,0.784,0.934
0.3459211130078851,0.816,0.622,0.83,1.024
0.35221058778984665,0.802,0.666,0.84,0.9759999999999999
0.3585000625718082,0.8,0.602,0.822,1.02
0.36478953735376973,0.794,0.654,0.856,0.9959999999999999
0.3710790121357313,0.792,0.598,0.81,1.004
0.37736848691769287,0.814,0.624,0.804,0.9939999999999999
0.3836579616996544,0.722,0.592,0.822,0.9520000000000001
0.38994743648161595,0.782,0.57,0.816,1.028
0.39623691126357746,0.794,0.606,0.806,0.9940000000000001
0.40252638604553903,0.74,0.58,0.778,0.9380000000000001
0.4088158608275006,0.762,0.582,0.824,1.004
0.4151053356094621,0.792,0.538,0.808,1.062
0.4213948103914237,0.778,0.558,0.792,1.012
0.4276842851733852,0.74,0.552,0.8,0.988
0.43397375995534676,0.746,0.584,0.798,0.9600000000000001
0.44026323473730833,0.756,0.472,0.81,1.094
0.44655270951926984,0.74,0.518,0.772,0.994
0.4528421843012314,0.736,0.542,0.79,0.984
0.459131659083193,0.756,0.538,0.794,1.012
0.4654211338651545,0.77,0.464,0.784,1.09
0.47171060864711606,0.724,0.442,0.806,1.088
0.4780000834290776,0.768,0.522,0.792,1.038
0.48428955821103914,0.708,0.49,0.802,1.02
0.4905790329930007,0.748,0.514,0.78,1.014
0.4968685077749622,0.732,0.472,0.788,1.048
0.5031579825569238,0.698,0.452,0.764,1.01
0.5094474573388853,0.742,0.438,0.764,1.068
0.5157369321208469,0.726,0.438,0.8,1.088
0.5220264069028084,0.694,0.466,0.742,0.97
0.52831588168477,0.708,0.412,0.756,1.052
0.5346053564667316,0.74,0.456,0.754,1.038
0.5408948312486931,0.718,0.38,0.736,1.0739999999999998
0.5471843060306546,0.724,0.338,0.764,1.15
0.5534737808126162,0.722,0.33,0.748,1.14
0.5597632555945777,0.74,0.362,0.716,1.0939999999999999
0.5660527303765392,0.696,0.362,0.72,1.0539999999999998
0.5723422051585008,0.728,0.332,0.718,1.1139999999999999
0.5786316799404624,0.716,0.318,0.746,1.144
0.5849211547224239,0.7,0.302,0.754,1.152
0.5912106295043854,0.682,0.35,0.72,1.052
0.597500104286347,0.682,0.296,0.722,1.1079999999999999
0.6037895790683085,0.678,0.342,0.726,1.0619999999999998
0.6100790538502701,0.644,0.28,0.714,1.078
0.6163685286322317,0.686,0.286,0.742,1.142
0.6226580034141932,0.65,0.234,0.72,1.1360000000000001
0.6289474781961547,0.676,0.272,0.708,1.1119999999999999
0.6352369529781163,0.692,0.276,0.726,1.142
0.6415264277600778,0.658,0.194,0.68,1.1440000000000001
0.6478159025420394,0.674,0.238,0.7,1.1360000000000001
0.6541053773240009,0.634,0.244,0.714,1.1039999999999999
0.6603948521059625,0.692,0.184,0.682,1.1900000000000002
0.666684326887924,0.666,0.236,0.694,1.1239999999999999
0.6729738016698855,0.664,0.186,0.618,1.096
0.6792632764518471,0.654,0.182,0.71,1.182
0.6855527512338087,0.604,0.196,0.676,1.084
