omega_tau,C_12,C_13,C_23,K_3
0.0,1.0,1.0,1.0,1.0
0.006289474781961547,1.0,1.0,1.0,1.0
0.012578949563923095,0.9996,1.0,1.0,0.9996
0.018868424345884642,0.9998,0.9998,1.0,1.0
0.02515789912784619,0.9994,0.9988,0.9998,1.0004
0.03144737390980774,0.9996,0.9982,0.9994,1.0008000000000001
0.037736848691769284,0.999,0.9978,0.9994,1.0006
0.04402632347373083,0.999,0.995,0.9986,1.0026000000000002
0.05031579825569238,0.9988,0.9946,0.9986,1.0028000000000001
0.056605273037653926,0.999,0.9934,0.9984,1.004
0.06289474781961547,0.9986,0.9936,0.9982,1.0031999999999999
0.06918422260157703,0.9982,0.9898,0.9972,1.0056
0.07547369738353857,0.996,0.9884,0.9958,1.0034
0.08176317216550011,0.9974,0.9844,0.996,1.009
0.08805264694746166,0.9956,0.9834,0.995,1.0072
0.09434212172942322,0.9946,0.9854,0.9956,1.0048000000000001
0.10063159651138476,0.9972,0.9788,0.9954,1.0137999999999998
0.1069210712933463,0.9924,0.9762,0.9954,1.0116
0.11321054607530785,0.9942,0.972,0.992,1.0142
0.1195000208572694,0.9912,0.9732,0.9938,1.0118
0.12578949563923095,0.992,0.9686,0.9928,1.0162
0.1320789704211925,0.9906,0.964,0.992,1.0186000000000002
0.13836844520315406,0.9894,0.9618,0.989,1.0166
0.1446579199851156,0.9894,0.9594,0.9882,1.0181999999999998
0.15094739476707714,0.989,0.9554,0.9878,1.0213999999999999
0.15723686954903868,0.9884,0.9508,0.9886,1.0261999999999998
0.16352634433100022,0.9878,0.9422,0.9862,1.0318
0.16981581911296179,0.9836,0.9394,0.987,1.0312000000000001
0.17610529389492333,0.9852,0.9402,0.985,1.0299999999999998
0.18239476867688487,0.983,0.9282,0.9842,1.0390000000000001
0.18868424345884643,0.982,0.928,0.983,1.037
0.19497371824080797,0.9768,0.9324,0.9774,1.0218000000000003
0.20126319302276952,0.9806,0.9192,0.9814,1.0428000000000002
0.20755266780473106,0.9786,0.9182,0.9802,1.0406
0.2138421425866926,0.9788,0.9058,0.9782,1.0511999999999997
0.22013161736865416,0.9798,0.9062,0.9744,1.048
0.2264210921506157,0.9736,0.9002,0.971,1.0444
0.23271056693257725,0.9718,0.8968,0.9734,1.0484
0.2390000417145388,0.972,0.8936,0.973,1.0514
0.24528951649650035,0.9718,0.8808,0.9698,1.0608
0.2515789912784619,0.9692,0.879,0.97,1.0602
0.25786846606042346,0.9658,0.8668,0.9674,1.0664
0.264157940842385,0.9634,0.8682,0.9674,1.0626000000000002
0.27044741562434654,0.9636,0.8618,0.9652,1.0669999999999997
0.2767368904063081,0.963,0.8548,0.9624,1.0706
0.2830263651882696,0.9604,0.8384,0.9622,1.0842
0.2893158399702312,0.957,0.8358,0.9626,1.0838
0.2956053147521927,0.9588,0.828,0.9554,1.0862000000000003
0.3018947895341543,0.9558,0.8196,0.9552,1.0914000000000001
0.30818426431611584,0.9518,0.8262,0.9596,1.0852
0.31447373909807735,0.957,0.8034,0.9526,1.1061999999999999
0.3207632138800389,0.9488,0.8074,0.9468,1.0882
