omega_tau,C_12,C_13,C_23,K_3
0.0,0.8342,0.8486,0.8792,0.8648
0.006289474781961547,0.8386,0.8292,0.8786,0.888
0.012578949563923095,0.843,0.8424,0.873,0.8735999999999999
0.018868424345884642,0.8466,0.838,0.872,0.8805999999999999
0.02515789912784619,0.8298,0.8326,0.8754,0.8726
0.03144737390980774,0.8346,0.8416,0.8728,0.8658
0.037736848691769284,0.8454,0.835,0.8718,0.8822000000000001
0.04402632347373083,0.8408,0.8358,0.8682,0.8732000000000001
0.05031579825569238,0.835,0.8312,0.872,0.8757999999999998
0.056605273037653926,0.8422,0.8306,0.8762,0.8877999999999999
0.06289474781961547,0.8408,0.839,0.868,0.8698000000000001
0.06918422260157703,0.8404,0.8312,0.8654,0.8745999999999999
0.07547369738353857,0.8382,0.8166,0.8766,0.8981999999999999
0.08176317216550011,0.8336,0.8312,0.8718,0.8742
0.08805264694746166,0.8292,0.822,0.8666,0.8738000000000002
0.09434212172942322,0.8376,0.8286,0.8728,0.8817999999999999
0.10063159651138476,0.8336,0.8188,0.867,0.8818000000000001
0.1069210712933463,0.8354,0.8182,0.877,0.8942000000000001
0.11321054607530785,0.8438,0.8072,0.8628,0.8993999999999999
0.1195000208572694,0.8288,0.816,0.8682,0.8810000000000001
0.12578949563923095,0.8304,0.8164,0.8716,0.8855999999999999
0.1320789704211925,0.8342,0.8118,0.8612,0.8836
0.13836844520315406,0.8404,0.8152,0.8638,0.8890000000000001
0.1446579199851156,0.8384,0.7952,0.8676,0.9107999999999999
0.15094739476707714,0.8238,0.8118,0.8662,0.8782
0.15723686954903868,0.8296,0.8042,0.8606,0.8859999999999999
0.16352634433100022,0.8386,0.7972,0.8616,0.9030000000000001
0.16981581911296179,0.8216,0.7878,0.8624,0.8962000000000002
0.17610529389492333,0.8368,0.7924,0.8662,0.9105999999999999
0.18239476867688487,0.8252,0.792,0.863,0.8962000000000001
0.18868424345884643,0.8214,0.7776,0.8512,0.8950000000000001
0.19497371824080797,0.822,0.78,0.8556,0.8976
0.20126319302276952,0.8194,0.7748,0.8534,0.898
0.20755266780473106,0.8206,0.7698,0.8546,0.9054
0.2138421425866926,0.8262,0.765,0.8642,0.9253999999999999
0.22013161736865416,0.8126,0.7544,0.86,0.9182000000000001
0.2264210921506157,0.8188,0.7444,0.847,0.9214
0.23271056693257725,0.8228,0.7554,0.8538,0.9212000000000001
0.2390000417145388,0.8114,0.7468,0.8532,0.9178000000000001
0.24528951649650035,0.816,0.75,0.852,0.9179999999999999
0.2515789912784619,0.8024,0.734,0.8412,0.9096
0.25786846606042346,0.8154,0.7192,0.8574,0.9536000000000001
0.264157940842385,0.8006,0.7308,0.8418,0.9115999999999999
0.27044741562434654,0.8114,0.7332,0.8468,0.9249999999999999
0.2767368904063081,0.812,0.7188,0.8416,0.9348
0.2830263651882696,0.8104,0.7118,0.8406,0.9392
0.2893158399702312,0.8044,0.7054,0.836,0.935
0.2956053147521927,0.8116,0.7024,0.8424,0.9515999999999999
0.3018947895341543,0.7974,0.6938,0.8354,0.9390000000000001
0.30818426431611584,0.8096,0.6756,0.8212,0.9552
0.31447373909807735,0.7962,0.6822,0.8442,0.9582
0.3207632138800389,0.8076,0.6738,0.8288,0.9626000000000001
0.32705268866200043,0.7922,0.6644,0.8342,0.9620000000000001
0.333342163443962,0.7982,0.6558,0.8226,0.965
0.33963163822592357,0.7896,0.6576,0.8226,0.9546000000000001
0.3459211130078851,0.7958,0.6556,0.8116,0.9518
0.35221058778984665,0.7872,0.6526,0.8226,0.9571999999999999
0.3585000625718082,0.7856,0.6238,0.8216,0.9833999999999999
0.36478953735376973,0.7738,0.641,0.8172,0.9500000000000002
0.3710790121357313,0.7862,0.6282,0.8198,0.9777999999999999
0.37736848691769287,0.779,0.6008,0.8064,0.9845999999999999
0.3836579616996544,0.7772,0.6128,0.8054,0.9698
0.38994743648161595,0.7774,0.5872,0.8084,0.9985999999999998
0.39623691126357746,0.7724,0.5918,0.807,0.9876000000000001
0.40252638604553903,0.7692,0.5878,0.8106,0.9920000000000001
0.4088158608275006,0.764,0.5734,0.8064,0.997
0.4151053356094621,0.7702,0.5824,0.8072,0.9949999999999999
0.4213948103914237,0.7678,0.5586,0.8046,1.0138
0.4276842851733852,0.7758,0.5572,0.7876,1.0062000000000002
0.43397375995534676,0.7544,0.536,0.7894,1.0078
0.44026323473730833,0.7638,0.547,0.7862,1.0030000000000001
0.44655270951926984,0.7614,0.5198,0.7962,1.0377999999999998
0.4528421843012314,0.76,0.5068,0.7916,1.0448
0.459131659083193,0.7482,0.5136,0.7864,1.021
0.4654211338651545,0.7604,0.5022,0.7838,1.042
0.47171060864711606,0.7558,0.4968,0.7808,1.0398
0.4780000834290776,0.7628,0.4936,0.7768,1.046
0.48428955821103914,0.7382,0.4792,0.7672,1.0261999999999998
0.4905790329930007,0.7494,0.4562,0.767,1.0602
0.4968685077749622,0.7474,0.451,0.7728,1.0692
0.5031579825569238,0.741,0.4398,0.7622,1.0634000000000001
0.5094474573388853,0.7256,0.4334,0.762,1.0542
0.5157369321208469,0.731,0.4286,0.7564,1.0588000000000002
